,Local Authority code,Local Authority name,Threatened with homelessness within 56 days-Prevention duty owed,Homeless - Relief duty owed4,Total households with support needs,Total secured accommodation,Homeless (including intentionally homeless),Size_of_social_housing_waiting_list_2021,2021 Total Lettings,A_B_property_counts,C_D_property_counts,E_F_property_counts,G_H_property_counts,median_houses_2020,median_earning_2020,ratio_by_medians_2020,lower_quatile_houses_2020,lower_quatile_earning_2020,ratio_by_lower_quatile_2020
250,E09000030,Tower Hamlets,278,265,186,150,42,21152,269.0,29400,69390,35900,5520,508250.0,41939,12.12,400000.0,30143,13.27
251,E07000149,South Norfolk,16,35,25,7,5,687,85.0,24540,27290,10430,1640,257995.0,29926,8.62,209000.0,21813,9.58
252,E07000140,South Holland,27,65,50,15,6,447,157.0,25190,14530,2330,130,191995.0,30628,6.27,154500.0,22059,7.0
253,E06000047,County Durham,-51,-51,..,..,..,10153,941.0,178790,53360,14890,2480,117000.0,28002,4.18,70000.0,20177,3.47
254,E07000135,Oadby Wigston,8,17,13,3,3,581,46.0,10260,10250,2530,560,231500.0,33659,6.88,180000.0,21079,8.54
255,W06000019,Blaenau Gwent,,,,,,,,,,,,92000.0,25936,3.55,70000.0,20512,3.41
256,E08000031,Wolverhampton,223,362,167,67,48,9256,476.0,81570,24260,4780,1110,159995.0,25706,6.22,123000.0,19651,6.26
257,E07000147,North Norfolk,33,44,37,7,9,2901,36.0,26400,20710,7300,1140,260000.0,27278,9.53,190000.0,21736,8.74
258,E07000235,Malvern Hills,13,42,30,7,5,566,38.0,11380,13790,9070,2570,267750.0,30875,8.67,209975.0,21606,9.72
259,E06000049,Cheshire East,194,132,219,146,9,5052,640.0,68500,62610,36150,14550,235000.0,32601,7.21,163250.0,23908,6.83
260,E06000042,Milton Keynes,97,219,154,14,31,2167,223.0,50420,44600,18290,3170,297250.0,32847,9.05,222500.0,24075,9.24
261,E06000043,Brighton Hove,45,211,182,26,21,6891,250.0,58010,54280,15970,2980,365000.0,33649,10.85,279000.0,24972,11.17
262,E07000192,Cannock Chase,40,20,24,14,1,964,79.0,28150,13750,2580,300,180000.0,27847,6.46,139950.0,21040,6.65
263,W06000021,Monmouthshire,,,,,,,,,,,,260000.0,34589,7.52,202500.0,23752,8.53
264,W06000009,Pembrokeshire,,,,,,,,,,,,180000.0,27309,6.59,130000.0,20421,6.37
